company_type,company_field,company_id,city_new,job_id,job_type,salary_bottom,salary_top,year_normal,job_created_year,job_created_month
Другое,Другое,NA,Москва и МО,4002,Молекулярный биолог,50000,80000,2022,2022,3
НИИ/Университет,Медицина,1,Москва и МО,4043,Биоинформатик,60000,150000,2022,2022,3
Мед. учреждение,Медицина,2,Москва и МО,4041,Лаборант,45000,55000,2022,2022,3
Мед. учреждение,Медицина,2,Москва и МО,4039,Научный сотрудник,60000,70000,2022,2022,3
НИИ/Университет,Медицина,3,Санкт-Петербург,4036,Биотехнолог,60000,120000,2022,2022,3
НИИ/Университет,Медицина,3,Санкт-Петербург,4035,Менеджер по регистрации,50000,70000,2022,2022,3
Другое,Биоинформатика,NA,Москва и МО,4034,Биоинформатик,80000,150000,2022,2022,3
Poc. компания 10-100,Биотехнологии,4,Москва и МО,4030,Молекулярный биолог,70000,100000,2022,2022,3
НИИ/Университет,Генная инженерия/Молбиол и др,5,Москва и МО,4028,Молекулярный биолог,50000,100000,2022,2022,3
Рос. компания > 100,Агрономия и пищевая промышленность,6,Москва и МО,4026,Биоинформатик,130000,130000,2022,2022,3
НИИ/Университет,Генная инженерия/Молбиол и др,7,Москва и МО,4025,Лабораторный менеджер,40000,60000,2022,2022,3
Рос. компания > 100,Медицина,8,Москва и МО,4024,Биоинформатик,60000,120000,2022,2022,3
НИИ/Университет,Медицина,1,Москва и МО,4022,Лабораторный менеджер,60000,80000,2022,2022,3
Рос. компания > 100,Агрономия и пищевая промышленность,6,Москва и МО,4021,Менеджер по продажам,100000,160000,2022,2022,3
НИИ/Университет,Медицина,1,Москва и МО,4020,Научный сотрудник,70000,100000,2022,2022,3
НИИ/Университет,Генная инженерия/Молбиол и др,NA,Москва и МО,4016,Научный сотрудник,65000,65000,2022,2022,3
НИИ/Университет,Медицина,9,Москва и МО,4015,Научный сотрудник,85000,100000,2022,2022,3
Мед. учреждение,Медицина,10,Москва и МО,4003,Научный сотрудник,80000,130000,2022,2022,3
Poc. компания 10-100,Медицина,11,Москва и МО,4001,Менеджер проектов/продукта,180000,200000,2022,2022,3
Рос. компания > 100,Биотехнологии,12,Москва и МО,3999,Биотехнолог,60000,70000,2022,2022,3
Рос. компания > 100,Биотехнологии,12,Москва и МО,3998,Менеджер по регистрации,80000,100000,2022,2022,3
Poc. компания 10-100,Ветеринария,13,Москва и МО,4050,Менеджер по продажам,80000,120000,2022,2022,4
НИИ/Университет,Медицина,14,Москва и МО,4115,Менеджер проектов/продукта,100000,150000,2022,2022,4
Poc. компания 10-100,Медицина,15,Москва и МО,4113,Менеджер по продажам,30000,60000,2022,2022,4
Рос. компания > 100,Фармакология,16,Другие города,4112,Биотехнолог,100000,200000,2022,2022,4
НИИ/Университет,Биоинформатика,17,Москва и МО,4106,Лаборант,12000,30000,2022,2022,4
НИИ/Университет,Генная инженерия/Молбиол и др,NA,Москва и МО,4105,Научный сотрудник,12000,30000,2022,2022,4
Рос. компания > 100,Фармакология,18,Москва и МО,4104,Менеджер проектов/продукта,70000,1000000,2022,2022,4
Рос. компания > 100,Фармакология,18,Москва и МО,4102,Менеджер по продажам,70000,100000,2022,2022,4
НИИ/Университет,Медицина,19,Москва и МО,4101,Научный сотрудник,40000,80000,2022,2022,4
НИИ/Университет,Биоинформатика,20,Москва и МО,4099,Биоинформатик,80000,200000,2022,2022,4
Poc. компания 10-100,Медицина,11,Москва и МО,4097,Биоинформатик,70000,100000,2022,2022,4
НИИ/Университет,Биоинформатика,21,Москва и МО,4096,Лабораторный менеджер,70000,90000,2022,2022,4
НИИ/Университет,Медицина,NA,Москва и МО,4094,Научный сотрудник,70000,70000,2022,2022,4
НИИ/Университет,Генная инженерия/Молбиол и др,22,Москва и МО,4093,Молекулярный биолог,50000,70000,2022,2022,4
НИИ/Университет,Генная инженерия/Молбиол и др,22,Москва и МО,4092,Молекулярный биолог,50000,70000,2022,2022,4
НИИ/Университет,Медицина,23,Москва и МО,4086,Врач,30000,60000,2022,2022,4
НИИ/Университет,Генная инженерия/Молбиол и др,23,Москва и МО,4085,Научный сотрудник,40000,80000,2022,2022,4
НИИ/Университет,Генная инженерия/Молбиол и др,23,Москва и МО,4084,Научный сотрудник,40000,80000,2022,2022,4
Poc. компания 10-100,Другое,24,Москва и МО,4083,Менеджер проектов/продукта,150000,200000,2022,2022,4
НИИ/Университет,Биотехнологии,25,Москва и МО,4081,Молекулярный биолог,70000,100000,2022,2022,4
НИИ/Университет,Медицина,26,Москва и МО,4080,Молекулярный биолог,80000,130000,2022,2022,4
НИИ/Университет,Медицина,27,Санкт-Петербург,4075,Научный сотрудник,60000,80000,2022,2022,4
НИИ/Университет,Генная инженерия/Молбиол и др,28,Москва и МО,4074,Биоинформатик,30000,100000,2022,2022,4
НИИ/Университет,Генная инженерия/Молбиол и др,29,Москва и МО,4071,Научный сотрудник,50000,70000,2022,2022,4
НИИ/Университет,Биоинформатика,30,Москва и МО,4066,Биоинформатик,80000,100000,2022,2022,4
НИИ/Университет,Медицина,31,Санкт-Петербург,4064,Научный сотрудник,40000,90000,2022,2022,4
Рос. компания > 100,Фармакология,32,Санкт-Петербург,4063,Биотехнолог,70000,100000,2022,2022,4
Рос. компания > 100,Фармакология,32,Санкт-Петербург,4062,Биотехнолог,70000,100000,2022,2022,4
Рос. компания > 100,Фармакология,32,Санкт-Петербург,4059,Научный сотрудник,70000,100000,2022,2022,4
Рос. компания > 100,Агрономия и пищевая промышленность,6,Москва и МО,4058,Лаборант,72000,72000,2022,2022,4
Рос. компания > 100,Фармакология,32,Санкт-Петербург,4057,Научный сотрудник,70000,100000,2022,2022,4
НИИ/Университет,Медицина,33,Москва и МО,4053,Научный сотрудник,130000,150000,2022,2022,4
Poc. компания 10-100,Медицина,11,Москва и МО,4047,Биоинформатик,100000,140000,2022,2022,4
Poc. компания 10-100,Медицина,11,Москва и МО,4046,Биоинформатик,70000,100000,2022,2022,4
НИИ/Университет,Биотехнологии,25,Москва и МО,4045,Молекулярный биолог,70000,100000,2022,2022,4
НИИ/Университет,Биотехнологии,34,Москва и МО,4191,Научный сотрудник,100000,200000,2022,2022,5
Мед. учреждение,Медицина,2,Москва и МО,4189,Научный сотрудник,50000,150000,2022,2022,5
НИИ/Университет,Агрономия и пищевая промышленность,35,Санкт-Петербург,4187,Биоинформатик,75000,120000,2022,2022,5
НИИ/Университет,Медицина,1,Москва и МО,4185,Лабораторный менеджер,70000,90000,2022,2022,5
НИИ/Университет,Медицина,19,Москва и МО,4184,Научный сотрудник,40000,80000,2022,2022,5
НИИ/Университет,Медицина,36,Москва и МО,4178,Научный сотрудник,30000,60000,2022,2022,5
НИИ/Университет,Генная инженерия/Молбиол и др,7,Москва и МО,4177,Лаборант,40000,80000,2022,2022,5
НИИ/Университет,Медицина,19,Москва и МО,4172,Научный сотрудник,40000,60000,2022,2022,5
НИИ/Университет,Фармакология,37,Санкт-Петербург,4171,Аналитик данных,65000,80000,2022,2022,5
НИИ/Университет,Фармакология,3,Санкт-Петербург,4170,Научный сотрудник,85000,200000,2022,2022,5
Рос. компания > 100,Биотехнологии,38,Москва и МО,4169,Научный сотрудник,106000,106000,2022,2022,5
Рос. компания > 100,Биотехнологии,38,Санкт-Петербург,4168,Научный сотрудник,150000,150000,2022,2022,5
Рос. компания > 100,Биотехнологии,38,Санкт-Петербург,4167,Научный сотрудник,150000,150000,2022,2022,5
Poc. компания 10-100,Биоинформатика,39,Москва и МО,4166,Молекулярный биолог,70000,70000,2022,2022,5
Poc. компания 10-100,Медицина,40,Москва и МО,4164,Биоинформатик,100000,160000,2022,2022,5
НИИ/Университет,Медицина,41,Москва и МО,4163,Научный сотрудник,25000,70000,2022,2022,5
НИИ/Университет,Медицина,41,Москва и МО,4162,Научный сотрудник,50000,90000,2022,2022,5
Рос. компания > 100,Агрономия и пищевая промышленность,6,Москва и МО,4160,Лаборант,72000,72000,2022,2022,5
Poc. компания 10-100,Биоинформатика,42,Москва и МО,4158,Биоинформатик,150000,200000,2022,2022,5
Poc. компания 10-100,Биоинформатика,39,Москва и МО,4156,Научный сотрудник,70000,100000,2022,2022,5
НИИ/Университет,Медицина,43,Москва и МО,4154,Молекулярный биолог,90000,160000,2022,2022,5
НИИ/Университет,Медицина,44,Москва и МО,4152,Биоинформатик,100000,150000,2022,2022,5
